subnet_idx,bits,weight
98,01000110,0.0005548237
99,11000110,0.0003245407
100,00100110,0.0007505402
101,10100110,0.00034175316
102,01100110,0.0003635415
103,11100110,0.00045284478
104,00010110,0.0006733817
105,10010110,0.00027153318
106,01010110,0.00036574973
107,11010110,0.00037303354
108,00110110,0.0004407877
109,10110110,0.00033051966
110,01110110,0.00035161563
111,11110110,0.00060858
112,00001110,0.0007677718
113,10001110,0.00034178278
114,01001110,0.0004060796
115,11001110,0.00031209853
116,00101110,0.00078418397
117,10101110,0.0030948797
118,01101110,0.0029425295
119,11101110,0.0089166565
120,00011110,0.0005399052
121,10011110,0.00028516038
122,01011110,0.0013561429
123,11011110,0.0025921094
124,00111110,0.0004598787
125,10111110,0.0038850347
126,01111110,0.0067657107
127,11111110,0.02860787
128,00000001,0.0018261903
129,10000001,0.0014454582
130,01000001,0.0014327583
131,11000001,0.0012252606
132,00100001,0.0012396587
133,10100001,0.00056267704
134,01100001,0.0005371227
135,11100001,0.00047782116
136,00010001,0.0012593325
137,10010001,0.0006919003
138,01010001,0.00068102306
139,11010001,0.0005511854
140,00110001,0.0007909384
141,10110001,0.00033879103
142,01110001,0.0003379095
143,11110001,0.00035936438
144,00001001,0.0013672896
145,10001001,0.0005971973
146,01001001,0.00052386534
147,11001001,0.0006842906
148,00101001,0.00085293583
149,10101001,0.00069244567
150,01101001,0.0006179115
151,11101001,0.0013031175
152,00011001,0.0010419762
153,10011001,0.00051866355
154,01011001,0.0004953764
155,11011001,0.00077949255
156,00111001,0.0007326151
157,10111001,0.0008788502
158,01111001,0.00082785066
159,11111001,0.0017037783
160,00000101,0.0015282958
161,10000101,0.0009235417
162,01000101,0.00095723633
163,11000101,0.0009298327
164,00100101,0.00076088175
165,10100101,0.00042046863
166,01100101,0.00042163426
167,11100101,0.00087562046
168,00010101,0.0010080657
169,10010101,0.0005868591
170,01010101,0.0005285134
171,11010101,0.00073932006
172,00110101,0.00065770815
173,10110101,0.00048265568
174,01110101,0.00044637796
175,11110101,0.001283177
176,00001101,0.00057287875
177,10001101,0.00021671299
178,01001101,0.0002518601
179,11001101,0.00048690673
180,00101101,0.00044480275
181,10101101,0.00064849516
182,01101101,0.0005741252
183,11101101,0.0014515438
184,00011101,0.00068973284
185,10011101,0.00036272316
186,01011101,0.00043496114
187,11011101,0.0008809303
188,00111101,0.0004975809
189,10111101,0.0010295544
190,01111101,0.0009992474
191,11111101,0.0019418404
192,00000011,0.0018848912
193,10000011,0.0013333289
194,01000011,0.0012822606
195,11000011,0.0006451954
196,00100011,0.0016164458
197,10100011,0.00029266646
198,01100011,0.0003362238
199,11100011,0.000113701026
200,00010011,0.0013602866
201,10010011,0.0004973707
202,01010011,0.00060916884
203,11010011,0.00023629131
204,00110011,0.00069256616
205,10110011,6.764877e-05
206,01110011,8.4090825e-05
207,11110011,5.1248036e-05
208,00001011,0.0010251275
209,10001011,0.00017589897
210,01001011,0.00017554472
211,11001011,8.152726e-05
212,00101011,0.0004995651
213,10101011,0.0008165179
214,01101011,0.0006497581
215,11101011,0.0022001814
216,00011011,0.00029277898
217,10011011,6.0412305e-05
218,01011011,0.000293003
219,11011011,0.00035667865
220,00111011,0.000114408685
221,10111011,0.00060940586
222,01111011,0.0008651811
223,11111011,0.006818585
224,00000111,0.0006677305
225,10000111,5.847415e-05
226,01000111,5.829047e-05
227,11000111,1.5405894e-05
228,00100111,0.000108838954
229,10100111,1.088771e-05
230,01100111,1.377072e-05
231,11100111,1.8209816e-05
232,00010111,0.00010799732
233,10010111,1.0924779e-05
