subnet_idx,bits,weight,path
75,11010010,0.0010476782,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
76,00110010,0.0013801921,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
77,10110010,0.00084438844,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
78,01110010,0.00085768756,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
79,11110010,0.0007823244,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
80,00001010,0.0014094396,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
81,10001010,0.0008617744,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
82,01001010,0.00091484754,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
83,11001010,0.0007583564,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
84,00101010,0.0012500733,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
85,10101010,0.0013526271,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
86,01101010,0.0012149466,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
87,11101010,0.0023527956,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
88,00011010,0.000984765,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
89,10011010,0.0006094777,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
90,01011010,0.0010215098,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
91,11011010,0.00133961,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
92,00111010,0.0007186242,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
93,10111010,0.0009845584,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
94,01111010,0.0009741948,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
95,11111010,0.005690654,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
96,00000110,0.0011676699,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
