subnet_idx,bits,weight
110,01110110,0.00390625
111,11110110,0.00390625
112,00001110,0.00390625
113,10001110,0.00390625
114,01001110,0.00390625
115,11001110,0.00390625
116,00101110,0.00390625
117,10101110,0.00390625
118,01101110,0.00390625
119,11101110,0.00390625
120,00011110,0.00390625
121,10011110,0.00390625
122,01011110,0.00390625
123,11011110,0.00390625
124,00111110,0.00390625
125,10111110,0.00390625
126,01111110,0.00390625
127,11111110,0.00390625
128,00000001,0.00390625
129,10000001,0.00390625
130,01000001,0.00390625
131,11000001,0.00390625
132,00100001,0.00390625
133,10100001,0.00390625
134,01100001,0.00390625
135,11100001,0.00390625
136,00010001,0.00390625
137,10010001,0.00390625
138,01010001,0.00390625
139,11010001,0.00390625
140,00110001,0.00390625
141,10110001,0.00390625
142,01110001,0.00390625
143,11110001,0.00390625
144,00001001,0.00390625
145,10001001,0.00390625
146,01001001,0.00390625
147,11001001,0.00390625
148,00101001,0.00390625
149,10101001,0.00390625
150,01101001,0.00390625
151,11101001,0.00390625
152,00011001,0.00390625
153,10011001,0.00390625
154,01011001,0.00390625
155,11011001,0.00390625
156,00111001,0.00390625
157,10111001,0.00390625
158,01111001,0.00390625
159,11111001,0.00390625
160,00000101,0.00390625
161,10000101,0.00390625
162,01000101,0.00390625
163,11000101,0.00390625
164,00100101,0.00390625
165,10100101,0.00390625
166,01100101,0.00390625
167,11100101,0.00390625
168,00010101,0.00390625
169,10010101,0.00390625
170,01010101,0.00390625
171,11010101,0.00390625
172,00110101,0.00390625
173,10110101,0.00390625
174,01110101,0.00390625
175,11110101,0.00390625
176,00001101,0.00390625
177,10001101,0.00390625
178,01001101,0.00390625
179,11001101,0.00390625
180,00101101,0.00390625
181,10101101,0.00390625
182,01101101,0.00390625
183,11101101,0.00390625
184,00011101,0.00390625
185,10011101,0.00390625
186,01011101,0.00390625
187,11011101,0.00390625
188,00111101,0.00390625
189,10111101,0.00390625
190,01111101,0.00390625
191,11111101,0.00390625
192,00000011,0.00390625
193,10000011,0.00390625
194,01000011,0.00390625
195,11000011,0.00390625
196,00100011,0.00390625
197,10100011,0.00390625
198,01100011,0.00390625
199,11100011,0.00390625
200,00010011,0.00390625
201,10010011,0.00390625
202,01010011,0.00390625
203,11010011,0.00390625
204,00110011,0.00390625
205,10110011,0.00390625
206,01110011,0.00390625
207,11110011,0.00390625
208,00001011,0.00390625
209,10001011,0.00390625
210,01001011,0.00390625
211,11001011,0.00390625
212,00101011,0.00390625
213,10101011,0.00390625
214,01101011,0.00390625
215,11101011,0.00390625
216,00011011,0.00390625
217,10011011,0.00390625
218,01011011,0.00390625
219,11011011,0.00390625
220,00111011,0.00390625
221,10111011,0.00390625
222,01111011,0.00390625
223,11111011,0.00390625
224,00000111,0.00390625
225,10000111,0.00390625
226,01000111,0.00390625
227,11000111,0.00390625
228,00100111,0.00390625
229,10100111,0.00390625
230,01100111,0.00390625
231,11100111,0.00390625
232,00010111,0.00390625
233,10010111,0.00390625
234,01010111,0.00390625
235,11010111,0.00390625
236,00110111,0.00390625
237,10110111,0.00390625
238,01110111,0.00390625
239,11110111,0.00390625
240,00001111,0.00390625
241,10001111,0.00390625
242,01001111,0.00390625
243,11001111,0.00390625
244,00101111,0.00390625
245,10101111,0.00390625
246,01101111,0.00390625
247,11101111,0.00390625
248,00011111,0.00390625
249,10011111,0.00390625
250,01011111,0.00390625
251,11011111,0.00390625
252,00111111,0.00390625
253,10111111,0.00390625
254,01111111,0.00390625
255,11111111,0.00390625
